user_id,user_type,province,account_age_months,outbound_trx,inbound_trx,hit_count,reported_risk
1,customer,Jakarta,12,5,3,1,1
2,merchant,Bandung,24,15,10,2,0
3,customer,Surabaya,6,2,5,0,1
4,merchant,Jakarta,36,20,8,4,1
5,customer,Bandung,18,7,6,1,0
6,merchant,Surabaya,48,25,18,3,0
7,customer,Jakarta,10,4,2,1,1
8,merchant,Bandung,30,17,9,3,0
9,customer,Surabaya,8,3,4,0,1
10,merchant,Jakarta,40,22,7,5,1
11,customer,Bandung,20,8,5,1,0
12,merchant,Surabaya,50,27,20,2,0
13,customer,Jakarta,15,6,3,1,1
14,merchant,Bandung,28,19,12,2,0
15,customer,Surabaya,7,4,6,0,1
16,merchant,Jakarta,38,21,8,4,1
17,customer,Bandung,22,9,6,1,0
18,merchant,Surabaya,46,26,17,3,0
19,customer,Jakarta,13,5,3,1,1
20,merchant,Bandung,25,16,11,2,0
21,customer,Surabaya,9,3,5,0,1
22,merchant,Jakarta,35,19,9,4,1
23,customer,Bandung,19,7,5,1,0
24,merchant,Surabaya,45,24,16,3,0
25,customer,Jakarta,11,6,2,1,1
26,merchant,Bandung,32,18,13,3,0
27,customer,Surabaya,5,2,4,0,1
28,merchant,Jakarta,42,23,10,5,1
29,customer,Bandung,21,8,4,1,0
30,merchant,Surabaya,49,26,19,2,0
