source_id,target_id,trans_amount,source_type,target_type,description,label
202000000059568558,201000000001249083,11200,customer,merchant,Buy Goods,nonfraud
201000000003295338,201100000005522170,29999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002468256,201000000001743307,20300,merchant,merchant,Business to Business Transfer,nonfraud
201000000003315761,201000000001743270,10599,merchant,merchant,Business to Business Transfer,nonfraud
201000000002019628,201100000005522140,25250,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000125806257,202000000127017750,20000,customer,customer,P2P Transfer,nonfraud
201000000002034092,201100000005522125,28000,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001870324,201100000005522164,10999,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001755371,201100000005522059,11350,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000001780583,201100000005522136,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
202000000123864126,201000000001845801,16500,customer,merchant,Buy Goods,nonfraud
201100000007505244,201100000005522125,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000002075643,201000000001744166,10999,merchant,merchant,Business to Business Transfer,nonfraud
202000000009166971,201000000001296075,1222360,customer,merchant,Customer Buy Goods,nonfraud
201000000003375573,201000000003086078,14900,merchant,merchant,Business to Business Transfer,nonfraud
201000000003410261,201000000002350876,39800,merchant,merchant,Business to Business Transfer,nonfraud
202000000002123708,201000000000254672,206720,customer,merchant,Customer Buy Goods Reservation,nonfraud
201000000001962303,201000000001744277,23000,merchant,merchant,Business to Business Transfer,nonfraud
201000000004515425,201000000001227614,50000,merchant,merchant,B2b Transfer Telco,nonfraud
201000000002323496,201100000005522165,16499,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002960636,201000000001742208,21000,merchant,merchant,Business to Business Transfer,nonfraud
202000000130858196,202000000114902253,19000,customer,customer,Customer Withdrawal,nonfraud
201000000005632622,201100000005522150,2021,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000002864997,201000000001742215,50000,merchant,merchant,Business to Business Transfer,nonfraud
201000000002013712,201100000005522194,22050,merchant,merchant,Digipos B2b Transfer,nonfraud
201000000001862421,201000000001743310,10520,merchant,merchant,Business to Business Transfer,nonfraud
201000000003602887,201000000001742311,9900,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
202000000126535447,201000000001195015,13000,customer,merchant,Customer Buy Goods Reservation,nonfraud
201000000001901100,201000000001745126,45315,merchant,merchant,Business to Business Transfer,nonfraud
202000000128703929,202000000127338460,311,customer,customer,P2P Transfer,nonfraud
201000000004859332,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201000000002469882,201100000005522147,14900,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201100000007505244,201100000005522125,200,merchant,merchant,Digipos B2b Transfer Fee,nonfraud
201000000004859332,201000000001745132,201,merchant,merchant,Business to Business Transfer,nonfraud
201000000001785533,201100000005522061,5600,merchant,merchant,Digipos B2b Transfer In Cluster,nonfraud
201000000003353318,201000000001744166,200,merchant,merchant,Business to Business Transfer,nonfraud
201100000007505244,201100000005522214,49600,merchant,merchant,Digipos B2b Transfer,nonfraud
202000000099186244,201000000004877047,20100,customer,merchant,Customer Reservation Telco For Other,nonfraud
201000000002019698,201000000001742311,15500,merchant,merchant,Business to Business Transfer,nonfraud
201000000004506908,201000000001743315,1130,merchant,merchant,Digipos B2b Transfer,nonfraud
