user_id,risk_score,classified_type,inbound_trx,outbound_trx,betweenness_centrality,syndicate_score
1,0.564249015076764,fraud_type1,1,2,0.007389162561576354,0.9274796084061749
2,0.5664074122421925,nonfraud_type4,1,1,0.003694581280788177,0.4041995751457532
3,0.0,fraud_type1,1,2,0.006157635467980296,0.9273581138403919
4,0.564463292607224,nonfraud_type3,2,1,0.009852216748768473,0.9277220357614525
5,0.5645099149645141,nonfraud_type3,0,2,0.0,0.40289626170296455
6,0.5552862027420764,nonfraud_type1,2,0,0.0,0.40289626170296455
7,0.0,fraud_type1,1,1,0.0024630541871921183,0.40376498617528345
8,0.5722681219869179,fraud_type4,2,1,0.008620689655172414,0.9276009156345869
9,0.0,fraud_type1,0,2,0.0,0.40289626170296455
10,0.5641770173225438,fraud_type1,2,0,0.0,0.40289626170296455
11,0.5643089382656401,fraud_type1,0,2,0.0,0.40289626170296455
12,0.56029307769267,fraud_type2,2,0,0.0,0.40289626170296455
13,0.5593744292499335,fraud_type2,1,1,0.0024630541871921183,0.40376498617528345
14,0.0,fraud_type1,1,1,0.0024630541871921183,0.40376498617528345
15,0.5699886112836933,nonfraud_type4,0,2,0.0,0.40289626170296455
16,0.0,fraud_type1,2,0,0.0,0.40289626170296455
17,0.5639246590286132,fraud_type1,0,2,0.0,0.40289626170296455
18,0.5643941236380287,nonfraud_type3,2,0,0.0,0.40289626170296455
19,0.5619422067172716,nonfraud_type1,1,1,0.0024630541871921183,0.40376498617528345
20,0.0,fraud_type1,1,1,0.0024630541871921183,0.40376498617528345
21,0.5624068998731507,fraud_type3,0,2,0.0,0.40289626170296455
22,0.0,fraud_type1,2,0,0.0,0.40289626170296455
23,0.5611775301890197,nonfraud_type1,0,2,0.0,0.40289626170296455
24,0.5644254307294749,nonfraud_type3,2,0,0.0,0.40289626170296455
25,0.5785928748036567,fraud_type4,1,1,0.0024630541871921183,0.40376498617528345
26,0.0,fraud_type1,1,1,0.0024630541871921183,0.40376498617528345
27,0.5746956096848991,fraud_type4,0,2,0.0,0.40289626170296455
28,0.5644932574737053,nonfraud_type3,2,0,0.0,0.40289626170296455
29,0.5607879038827176,nonfraud_type1,0,2,0.0,0.40289626170296455
30,0.0,fraud_type1,2,0,0.0,0.40289626170296455
